WKT,OBJECTID,CHANGE_NUM,MINOR_CHAN,ACCESSIBIL,ACCESSORY_,STOP_ID,TRANS_LINK,STOP_STATU,STOP_TYPE,AUTH_CODE,AUTH_NAME,TRF_DISTRI,AWNING,BAY_CODE,BEARING_CO,BIKE_RACK,CURB,CURB_HEIGH,CURBPAINT,CURBPAINTL,CURRENT_NE,CF_CROSS_S,CF_DIST_FR,CF_INTERSE,DATE_CREAT,DATE_LAST_,DB_MOD_DAT,DISPLACEME,DIST_FROM_,EFFECTIVE_,FARE_ZONE,FRDOORLAND,FRDOORSIDE,HASTUS_CRO,IMT_CONNEC,IN_SERVICE,INFOSIGN_A,INFOSIGN,INTERSECTI,JURISDICTI,KCM_MANAGE,XCOORD,XCOORD_OFF,YCOORD,YCOORD_OFF,ZIPCODE,ROUTE_LIST,ON_STREET_,ROUTESIGN,ROUTESIGN_,SIGN_MOUNT,SIGNPOST,SIGNPOST_A,SCHEDULE_H,NUM_SHELTE,GISOBJID
"POINT (-122.238440788092 47.3294374561215)",4036,141,2,UNK,None,57186,105621,CLO,RL,PVT,Private Owner,SE,NO,,N,NO,UNK,0,Unknown,0,CURRENT,Emerald Downs Dr,141,FS,1997-05-27T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,3347.6,1335.5,2008-07-26T00:00:00.000Z,24,Unknown,0,Emerald Downs Dr,,N,None,None,Far side,AUB,UNK,1291946.8,1291972,123351.6,123351,98001,,Ron Crockett Dr NW,Unknown,KCM,Toward,2in metal,Base plate,None,0,0
"POINT (-122.223332939564 47.275689145721)",4071,141,2,YES,None,57622,261083,ACT,REG,AUB,Auburn,SE,NO,,W,NO,UNK,0,Unknown,10,CURRENT,D St SE,175,NS,1997-09-20T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,38,38,1997-09-20T00:00:00.000Z,24,Unknown,0,D St SE,,N,None,None,Near side,AUB,YES,1295363.5,1295364,103655.5,103680.5,98002,180,37th St SE,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,0,5126
"POINT (-122.224140162578 47.2740754749688)",4072,141,2,YES,None,57623,260968,ACT,REG,AUB,Auburn,SE,NO,,S,NO,YES,6,YelRed-Stop,10,CURRENT,D Pl SE,60,FS,1997-09-20T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,771.4,60,2015-12-07T00:00:00.000Z,24,ADA Access,0,D Pl SE,,N,None,None,Far side,AUB,YES,1295177.7,1295153,103095.3,103095.6,98002,180,D St SE,A1 <=2 rts,KCM,Toward,2in metal,Base plate,None,0,5127
"POINT (-122.222645388389 47.2845490347251)",4073,141,2,UNK,Unknown,57630,8123,CLO,REG,UNK,Unknown,SE,UNK,,E,NO,UNK,0,Unknown,0,CURRENT,D St SE,226.2,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,226.2,226.2,1997-09-19T00:00:00.000Z,24,Unknown,0,D St SE,,N,UNK,Unknown,Far side,AUB,UNK,1295593.3,1295593,106933.7,106908.7,98002,,27th St SE,Unknown,UNK,,Unknown,Unknown,UNK,0,100014345
"POINT (-122.221479273552 47.2898086332752)",4074,141,2,YES,None,57631,160694,ACT,REG,AUB,Auburn,SE,NO,,S,NO,UNK,0,Unknown,110,CURRENT,21st St SE,90,FS,1997-09-20T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,90,90,1997-09-20T00:00:00.000Z,24,Unknown,0,21st St SE,,N,None,None,Far side,AUB,YES,1295942.3,1295917,108821.7,108821.7,98002,180,F St SE,A1 <=2 rts,KCM,Away,2in metal,Base plate,Single,0,5128
"POINT (-122.221459387239 47.2864747120088)",4075,141,2,YES,None,57632,38488,ACT,REG,AUB,Auburn,SE,NO,,S,NO,UNK,0,Unknown,70,CURRENT,25th St SE,20,NS,1997-09-20T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,246.6,20,1997-09-20T00:00:00.000Z,24,Unknown,0,25th St SE,,N,None,None,Near side,AUB,YES,1295924.8,1295900,107605.1,107605.7,98002,180,F St SE,A1 <=2 rts,KCM,Toward,2in metal,Base plate,Single,0,5129
"POINT (-122.221441499392 47.2829120916766)",4076,141,2,YES,None,57640,13903,ACT,REG,AUB,Auburn,SE,NO,,S,NO,UNK,0,Unknown,10,CURRENT,29th St SE,40,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,299.3,40,1960-01-01T00:00:00.000Z,24,Unknown,0,29th St SE,,N,None,None,Near side,AUB,YES,1295906.4,1295881,106306.3,106306.3,98002,180,F St SE,A1 <=2 rts,KCM,Away,2in metal,Base plate,None,0,5130
"POINT (-122.217573066543 47.2827503050367)",4077,141,2,YES,None,57650,108888,ACT,REG,AUB,Auburn,SE,NO,,E,NO,UNK,0,Unknown,60,CURRENT,I St SE,60,NS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,34.7,34.7,1960-01-01T00:00:00.000Z,24,Unknown,0,I St SE,,N,None,None,Near side,AUB,YES,1296840.1,1296840,106255,106230,98002,180,29th St SE,A1 <=2 rts,KCM,Away,Light,Band,None,0,5131
"POINT (-122.212536795435 47.2827657797489)",4078,141,2,UNK,Unknown,57660,82112,CLO,REG,UNK,Unknown,SE,UNK,,E,NO,UNK,0,Unknown,0,CURRENT,M St SE,202.4,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,202.4,202.4,1997-09-19T00:00:00.000Z,24,Unknown,0,M St SE,,N,UNK,Unknown,Far side,AUB,UNK,1298090.5,1298090,106238.2,106213.2,98002,,29th St SE,Unknown,UNK,,Unknown,Unknown,UNK,0,100014344
"POINT (-122.210336889167 47.2827701066179)",4079,141,2,UNK,Unknown,57670,148051,CLO,REG,UNK,Unknown,SE,UNK,,E,NO,UNK,0,Unknown,0,CURRENT,O St SE,46.6,FS,1960-01-01T04:30:00.000Z,2019-01-30T20:32:00.000Z,2019-04-08T00:00:00.000Z,86.40000000000001,46.6,1997-09-19T00:00:00.000Z,24,Unknown,0,O St SE,,N,UNK,Unknown,Far side,AUB,UNK,1298636.5,1298636,106230,106205,98002,,29th St SE,Unknown,UNK,,Unknown,Unknown,UNK,0,100014343
